Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Payment Instrument Type,Purchase Order Number,PO Line Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
7/7/2021,222-2462503-0998646,"Amazon Basics College Ruled Wirebound Spiral Notebook, 100 Sheets - 5-Pack, Assorted Solid Colors",BLANK_BOOK,B1240CMQU8XE,85121143,Amazon.com,,new,Amazon.com,,$12.99 ,$12.99 ,1,Gift Certificate/Card,,,words@mail.com,7/7/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5131,Shipped,AMZN_US(TBA132350292304),$12.99 ,$0.78 ,$13.77 ,FALSE,,FALSE,J,USD,
7/7/2021,222-2462503-0998647,Remove Before Flight Key Chain - Red/White 1pc by Rotary13B1,KEYCHAIN,B00040CMQU8XE,89121331,Amazon.com,,new,Rotary13B1,,$9.99 ,$7.95 ,1,Gift Certificate/Card,,,words@mail.com,7/7/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5132,Shipped,AMZN_US(TBA132351900104),$7.95 ,$0.48 ,$8.43 ,FALSE,,FALSE,J,USD,
7/30/2021,222-2462503-0998648,"Fit Simplify Resistance Loop Exercise Bands with Instruction Guide and Carry Bag, Set of 5",EXERCISE_BAND,1.98124E+11,93121519,Amazon.com,,new,Fit_Simplify,,$12.95 ,$12.95 ,1,Gift Certificate/Card,,,words@mail.com,7/30/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5133,Shipped,AMZN_US(TBA132361900104),$12.95 ,$1.14 ,$14.09 ,FALSE,,FALSE,J,USD,
7/31/2021,222-2462503-0998649,"Oh, the Places You'll Go!  ",ABIS_BOOK,B1240CMQU8XE,97121707,Amazon.com,1990-01-22T00:00:01,new,Amazon.com,,$18.99 ,$7.78 ,2,Gift Certificate/Card,,,words@mail.com,8/1/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5134,Shipped,FedEx(782203252027),$15.56 ,$1.38 ,$16.94 ,FALSE,,FALSE,J,USD,
8/10/2021,222-2462503-0998650,SUNGAIT Men's Military Style Polarized Pilot Aviator Sunglasses Bayonet Temples,SUNGLASSES,B00040CMQU8XE,101121895,Amazon.com,,new,SUNGAIT,,$17.99 ,$16.99 ,1,Gift Certificate/Card,,,words@mail.com,8/11/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5135,Shipped,AMZN_US(TBA124123523704),$16.99 ,$1.50 ,$18.49 ,FALSE,,FALSE,J,USD,
8/10/2021,222-2462503-0998651,SUNGAIT Men's Military Style Polarized Pilot Aviator Sunglasses Bayonet Temples,SUNGLASSES,1.98124E+11,105122083,Amazon.com,,new,SUNGAIT,,$19.99 ,$16.99 ,1,Gift Certificate/Card,,,words@mail.com,8/11/2021,Jack Wilson,21 S Holly ST,,DENVER,CO,80321-5136,Shipped,AMZN_US(TBA132350292304),$16.99 ,$1.50 ,$18.49 ,FALSE,,FALSE,J,USD,
8/19/2021,222-2462503-0998652,Friction Gloves Friction Ultimate Frisbee Gloves - #1 World's Ultimate Glove. Improve Throws & Catches,SPORT_ACTIVITY_GLOVE,B1240CMQU8XE,109122271,Amazon.com,,new,Friction Gloves,,$29.99 ,$26.99 ,1,Gift Certificate/Card,,,words@mail.com,8/20/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5137,Shipped,AMZN_US(TBA132351900104),$26.99 ,$1.62 ,$28.61 ,FALSE,,FALSE,J,USD,
8/19/2021,222-2462503-0998653,Joe's USA Mens All Sport Moisture Wicking Reversible Tank Tops XS-4XL,SHIRT,B00040CMQU8XE,113122459,Amazon.com,,new,Joe's USA,,$0.00 ,$22.99 ,1,Gift Certificate/Card,,,words@mail.com,8/20/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5138,Shipped,AMZN_US(TBA132361900104),$22.99 ,$1.38 ,$24.37 ,FALSE,,FALSE,J,USD,
8/21/2021,222-2462503-0998654,"Five Star 4 Pocket Folders, 2 Pocket Folders plus 2 additional Pockets, Assorted Colors, 6 Pack (38056)",FILE_FOLDER,1.98124E+11,117122647,Amazon.com,,new,Amazon.com,,$13.19 ,$12.51 ,1,Gift Certificate/Card,,,words@mail.com,8/22/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5139,Shipped,FedEx(782203252027),$12.51 ,$0.75 ,$13.26 ,FALSE,,FALSE,J,USD,
8/21/2021,222-2462503-0998655,"Amazon Basics College Ruled Wirebound Spiral Notebook, 100 Sheets - 5-Pack, Assorted Solid Colors",BLANK_BOOK,B1240CMQU8XE,121122835,Amazon.com,,new,Amazon.com,,$12.99 ,$12.99 ,1,Gift Certificate/Card,,,words@mail.com,8/22/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5140,Shipped,AMZN_US(TBA124123523704),$12.99 ,$0.78 ,$13.77 ,FALSE,,FALSE,J,USD,
9/9/2021,222-2462503-0998656,"WristCoaches Football Play Wristbands - Adult Quarterback Gear - Wristband Playbook - Softball Wristbands for Signs - Soccer, Baseball & Catchers Wristband - QB Play Card Wrist Band Training Equipment",SWEATBAND,B00040CMQU8XE,125123023,Amazon.com,,new,Pro Sports Plans,,$14.99 ,$8.99 ,1,Gift Certificate/Card,,,words@mail.com,9/10/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5141,Shipped,AMZN_US(TBA132350292304),$8.99 ,$0.54 ,$9.53 ,FALSE,,FALSE,J,USD,
10/11/2021,222-2462503-0998657,"How to Lead: Wisdom from the World's Greatest CEOs, Founders, and Game Changers",ABIS_BOOK,1.98124E+11,129123211,Amazon.com,2020-09-01T00:00:01,new,Amazon.com,,$30.00 ,$17.69 ,1,Gift Certificate/Card,,,words@mail.com,10/13/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5142,Shipped,AMZN_US(TBA132351900104),$17.69 ,$1.06 ,$18.75 ,FALSE,,FALSE,J,USD,
11/1/2021,222-2462503-0998658,NEWCOSPLAY Unisex Adult Animal One-Piece Pajamas Cosplay Onesies Costume,COSTUME_OUTFIT,B1240CMQU8XE,133123399,Amazon.com,,new,Brook Alice,,$0.00 ,$30.99 ,1,Gift Certificate/Card,,,words@mail.com,11/1/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5143,Shipped,AMZN_US(TBA132361900104),$30.99 ,$1.86 ,$32.85 ,FALSE,,FALSE,J,USD,
11/1/2021,222-2462503-0998659,"Texas Instruments BA II Plus Financial Calculator, Black",COMPUTER_COMPONENT,B00040CMQU8XE,137123587,Amazon.com,,new,ShowMk,,$59.99 ,$32.89 ,1,Gift Certificate/Card,,,words@mail.com,11/1/2021,Jack Wilson,21 S Holly ST,,WASHINGTON,DC,80321-5144,Shipped,FedEx(782203252027),$32.89 ,$1.97 ,$34.86 ,FALSE,,FALSE,J,USD,
